"%s - Order %s","%s - Order %s"
"%s BTC","%s BTC"
"6 (network default)","6 (network default)"
"7 days","7 days"
"8 (Satoshi)","8 (Satoshi)"
"24 hours (least stable)","24 hours (least stable)"
"30 days (most stable)","30 days (most stable)"
"<a href=""bitcoin:1LpegijWDvW8fMdDZtjWAoxDMHWq6f6JRX?amount=1""><img src=""https://chart.googleapis.com/chart?chs=58x58&chld=L|0&cht=qr&chl=bitcoin%3A1LpegijWDvW8fMdDZtjWAoxDMHWq6f6JRX%3Famount%3D1"" style=""float: left; margin-right: 10px"" /></a>Free extension by <a href=""http://www.appmerce.com/"" title=""Applications for Ecommerce"" style=""color: #EA7601"">Appmerce</a> | <a href=""http://www.appmerce.com/get-support"" title=""Get support for this extension"" style=""color: #EA7601"">Get Support</a><br />Please donate 1 BTC if you need bugfixes or new features!<br /><pre>1LpegijWDvW8fMdDZtjWAoxDMHWq6f6JRX</pre>","<a href=""bitcoin:1LpegijWDvW8fMdDZtjWAoxDMHWq6f6JRX?amount=1""><img src=""https://chart.googleapis.com/chart?chs=58x58&chld=L|0&cht=qr&chl=bitcoin%3A1LpegijWDvW8fMdDZtjWAoxDMHWq6f6JRX%3Famount%3D1"" style=""float: left; margin-right: 10px"" /></a>Free extension by <a href=""http://www.appmerce.com/"" title=""Applications for Ecommerce"" style=""color: #EA7601"">Appmerce</a> | <a href=""http://www.appmerce.com/get-support"" title=""Get support for this extension"" style=""color: #EA7601"">Get Support</a><br />Please donate 1 BTC if you need bugfixes or new features!<br /><pre>1LpegijWDvW8fMdDZtjWAoxDMHWq6f6JRX</pre>"
"Automatic invoice.","Automatic invoice."
"Before enabling check that you can access a secured Bitcoin wallet using JSON-RPC.","Before enabling check that you can access a secured Bitcoin wallet using JSON-RPC."
"Bitcoin (JSON-RPC)","Bitcoin (JSON-RPC)"
"Bitcoin exchange rate could not be fetched.","Bitcoin exchange rate could not be fetched."
"BTC Precision","BTC Precision"
"Confirm Bitcoin Transaction","Confirm Bitcoin Transaction"
"Confirmed %s BTC total balance (%s/%s).","Confirmed %s BTC total balance (%s/%s)."
"Confirm Transaction","Confirm Transaction"
"Create Invoice","Create Invoice"
"Debug Mode","Debug Mode"
"Decide how many decimals to show for payable Bitcoin amounts.","Decide how many decimals to show for payable Bitcoin amounts."
"Enabled","Enabled"
"Enable to use SSL on the original client daemon. You must also enable this in <a href=""https://en.bitcoin.it/wiki/Enabling_SSL_on_original_client_daemon"" target=""_blank"">bitcoin.conf</a>.","Enable to use SSL on the original client daemon. You must also enable this in <a href=""https://en.bitcoin.it/wiki/Enabling_SSL_on_original_client_daemon"" target=""_blank"">bitcoin.conf</a>."
"Exchange Rate Period","Exchange Rate Period"
"JSON-RPC could not be reached: %s.","JSON-RPC could not be reached: %s."
"JSON-RPC Hostname","JSON-RPC Hostname"
"JSON-RPC Password","JSON-RPC Password"
"JSON-RPC Port","JSON-RPC Port"
"JSON-RPC SSL","JSON-RPC SSL"
"JSON-RPC Username","JSON-RPC Username"
"Maximum Order Total","Maximum Order Total"
"Minimum Confirmations","Minimum Confirmations"
"Minimum Order Total","Minimum Order Total"
"New Order Status","New Order Status"
"Number of confirmations from the Bitcoin network before accepting a transaction.","Number of confirmations from the Bitcoin network before accepting a transaction."
"Payment failed. Please try again.","Payment failed. Please try again."
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment Methods","Payment Methods"
"Pending Payment Status","Pending Payment Status"
"Please send exactly %s BTC (%s) to:","Please send exactly %s BTC (%s) to:"
"Please send exactly %s BTC to:","Please send exactly %s BTC to:"
"Processing Order Status","Processing Order Status"
"See database table <em>bitcoin_api_debug</em>.","See database table <em>bitcoin_api_debug</em>."
"Selected currency (%s) is not compatible with this payment method.","Selected currency (%s) is not compatible with this payment method."
"Send Invoice Email","Send Invoice Email"
"Send Order Email","Send Order Email"
"Sort Order","Sort Order"
"Specify the exchange rate period that is cached from <a href=""http://bitcoincharts.com/t/weighted_prices.json"" target=""_blank"">Bitcoincharts.com</a>.","Specify the exchange rate period that is cached from <a href=""http://bitcoincharts.com/t/weighted_prices.json"" target=""_blank"">Bitcoincharts.com</a>."
"Title","Title"
"Unconfirmed %s BTC transaction (%s/%s).","Unconfirmed %s BTC transaction (%s/%s)."
"You will receive instructions to transfer %s BTC after placing your order.","You will receive instructions to transfer %s BTC after placing your order."
