"%s - Order %s","%s - Bestelling %s"
"%s BTC","%s BTC"
"6 (network default)","6 (netwerk standaard)"
"7 days","7 dagen"
"8 (Satoshi)","8 (Satoshi)"
"24 hours (least stable)","24 uur (minst stabiel)"
"30 days (most stable)","30 dagen (meest stabiel)"
"<a href=""bitcoin:1LpegijWDvW8fMdDZtjWAoxDMHWq6f6JRX?amount=1""><img src=""https://chart.googleapis.com/chart?chs=58x58&chld=L|0&cht=qr&chl=bitcoin%3A1LpegijWDvW8fMdDZtjWAoxDMHWq6f6JRX%3Famount%3D1"" style=""float: left; margin-right: 10px"" /></a>Free extension by <a href=""http://www.appmerce.com/"" title=""Applications for Ecommerce"" style=""color: #EA7601"">Appmerce</a> | <a href=""http://www.appmerce.com/get-support"" title=""Get support for this extension"" style=""color: #EA7601"">Get Support</a><br />Please donate 1 BTC if you need bugfixes or new features!<br /><pre>1LpegijWDvW8fMdDZtjWAoxDMHWq6f6JRX</pre>","<a href=""bitcoin:1LpegijWDvW8fMdDZtjWAoxDMHWq6f6JRX?amount=1""><img src=""https://chart.googleapis.com/chart?chs=58x58&chld=L|0&cht=qr&chl=bitcoin%3A1LpegijWDvW8fMdDZtjWAoxDMHWq6f6JRX%3Famount%3D1"" style=""float: left; margin-right: 10px"" /></a>Gratis extensie door <a href=""http://www.appmerce.nl/"" title=""Applicaties voor ecommerce"" style=""color: #EA7601"">Appmerce</a> | <a href=""http://www.appmerce.nl/get-support"" title=""Vraag support voor deze extensie"" style=""color: #EA7601"">Vraag support aan</a><br />Doneer a.u.b. 1 BTC indien u bugfixes of nieuwe features wenst!<br /><pre>1LpegijWDvW8fMdDZtjWAoxDMHWq6f6JRX</pre>"
"Automatic invoice.","Automatische factuur."
"Before enabling check that you can access a secured Bitcoin wallet using JSON-RPC.","Controleer voor inschakelen dat u over JSON-RPC kunt beschikken over een beveiligde Bitcoin portemonnee."
"Bitcoin (JSON-RPC)","Bitcoin (JSON-RPC)"
"Bitcoin exchange rate could not be fetched.","Bitcoin wisselkoers kon niet worden opgehaald."
"BTC Precision","BTC precisie"
"Confirm Bitcoin Transaction","Bevestig Bitcoin transactie"
"Confirmed %s BTC total balance (%s/%s).","Totale balans %s BTC bevestigd (%s/%s)."
"Confirm Transaction","Bevestig transactie"
"Create Invoice","Factuur aanmaken"
"Debug Mode","Debug Modus"
"Decide how many decimals to show for payable Bitcoin amounts.","Instellen hoeveel decimalen te gebruiken voor te betalen Bitcoin hoeveelheden."
"Enabled","Ingeschakeld"
"Enable to use SSL on the original client daemon. You must also enable this in <a href=""https://en.bitcoin.it/wiki/Enabling_SSL_on_original_client_daemon"" target=""_blank"">bitcoin.conf</a>.","Schakel SSL in op de originele client daemon. U moet dit ook inschakelen in <a href=""https://en.bitcoin.it/wiki/Enabling_SSL_on_original_client_daemon"" target=""_blank"">bitcoin.conf</a>."
"Exchange Rate Period","Wisselkoersperiode"
"JSON-RPC could not be reached: %s.","JSON-RPC kon niet bereikt worden: %s."
"JSON-RPC Hostname","JSON-RPC hostnaam"
"JSON-RPC Password","JSON-RPC wachtwoord"
"JSON-RPC Port","JSON-RPC poort"
"JSON-RPC SSL","JSON-RPC SSL"
"JSON-RPC Username","JSON-RPC gebruikersnaam"
"Maximum Order Total","Maximum Order Total"
"Minimum Confirmations","Minimum bevestigingen"
"Minimum Order Total","Minimum Order Total"
"New Order Status","New Order Status"
"Number of confirmations from the Bitcoin network before accepting a transaction.","Aantal bevestigingen van het Bitcoin netwerk voordat een transactie wordt geaccepteerd."
"Payment failed. Please try again.","Betaling mislukt. Probeer a.u.b. opnieuw."
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment Methods","Payment Methods"
"Pending Payment Status","Pending Payment Status"
"Please send exactly %s BTC (%s) to:","Maak a.u.b. precies %s BTC (%s) over naar:"
"Please send exactly %s BTC to:","Maak a.u.b. precies %s BTC over naar:"
"Processing Order Status","Processing Order Status"
"See database table <em>bitcoin_api_debug</em>.","Zie database tabel <em>bitcoin_api_debug</em>."
"Selected currency (%s) is not compatible with this payment method.","Selected currency (%s) is not compatible with this payment method."
"Send Invoice Email","Verstuur factuur email"
"Send Order Email","Verstuur bestelling email"
"Sort Order","Sort Order"
"Specify the exchange rate period that is cached from <a href=""http://bitcoincharts.com/t/weighted_prices.json"" target=""_blank"">Bitcoincharts.com</a>.","Specificeer de wisselkoersperiode die wordt gecached van <a href=""http://bitcoincharts.com/t/weighted_prices.json"" target=""_blank"">Bitcoincharts.com</a>."
"Title","Title"
"Unconfirmed %s BTC transaction (%s/%s).","%s BTC onbevestigde transactie (%s/%s)."
"You will receive instructions to transfer %s BTC after placing your order.","U ontvangt instructies om %s BTC over te maken nadat u een bestelling heeft geplaatst."
